;Invoice ID;Branch;City;Customer type;Gender;Product line;Unit price;Quantity;Tax 5%;Total;Date;Time;Payment;cogs;gross margin percentage;gross income;Rating;;Rótulos de Linha;Soma de Unit price;Soma de Quantity;Soma de Tax 5%;Soma de Total;Soma de cogs;Soma de gross margin percentage;Soma de gross income;Soma de Rating
29;848-62-7243;A;Yangon;Normal;Male;Health and beauty;24,89;9;11,2005;235,2105;3/15/2019;15:36;Cash;224,01;4,761904762;11,2005;7,4;;Health and beauty;65,31;7;22,8585;480,0285;457,17;4,761904762;22,8585;4,2
30;871-79-8483;B;Mandalay;Normal;Male;Fashion accessories;94,13;5;23,5325;494,1825;2/25/2019;19:39;Credit card;470,65;4,761904762;23,5325;4,8;;03/05/2019;65,31;7;22,8585;480,0285;457,17;4,761904762;22,8585;4,2
31;149-71-6266;B;Mandalay;Member;Male;Sports and travel;78,07;9;35,1315;737,7615;1/28/2019;12:43;Cash;702,63;4,761904762;35,1315;4,5;;18;65,31;7;22,8585;480,0285;457,17;4,761904762;22,8585;4,2
32;640-49-2076;B;Mandalay;Normal;Male;Sports and travel;83,78;8;33,512;703,752;01/10/2019;14:49;Cash;670,24;4,761904762;33,512;5,1;;105-10-6182;21,48;2;2,148;45,108;42,96;4,761904762;2,148;6,6
33;595-11-5460;A;Yangon;Normal;Male;Health and beauty;96,58;2;9,658;202,818;3/15/2019;10:12;Credit card;193,16;4,761904762;9,658;5,1;;A;21,48;2;2,148;45,108;42,96;4,761904762;2,148;6,6
34;183-56-6882;C;Naypyitaw;Member;Female;Food and beverages;99,42;4;19,884;417,564;02/06/2019;10:42;Ewallet;397,68;4,761904762;19,884;7,5;;Yangon;21,48;2;2,148;45,108;42,96;4,761904762;2,148;6,6
35;232-16-2483;C;Naypyitaw;Member;Female;Sports and travel;68,12;1;3,406;71,526;01/07/2019;12:28;Ewallet;68,12;4,761904762;3,406;6,8;;Male;21,48;2;2,148;45,108;42,96;4,761904762;2,148;6,6
36;129-29-8530;A;Yangon;Member;Male;Sports and travel;62,62;5;15,655;328,755;03/10/2019;19:15;Ewallet;313,1;4,761904762;15,655;7;;Member;21,48;2;2,148;45,108;42,96;4,761904762;2,148;6,6
37;272-65-1806;A;Yangon;Normal;Female;Electronic accessories;60,88;9;27,396;575,316;1/15/2019;17:17;Ewallet;547,92;4,761904762;27,396;4,7;;Fashion accessories;21,48;2;2,148;45,108;42,96;4,761904762;2,148;6,6
38;333-73-7901;C;Naypyitaw;Normal;Female;Health and beauty;54,92;8;21,968;461,328;3/23/2019;13:24;Ewallet;439,36;4,761904762;21,968;7,6;;2/27/2019;21,48;2;2,148;45,108;42,96;4,761904762;2,148;6,6
39;777-82-7220;B;Mandalay;Member;Male;Home and lifestyle;30,12;8;12,048;253,008;03/03/2019;13:01;Cash;240,96;4,761904762;12,048;7,7;;12;21,48;2;2,148;45,108;42,96;4,761904762;2,148;6,6
40;280-35-5823;B;Mandalay;Member;Female;Home and lifestyle;86,72;1;4,336;91,056;1/17/2019;18:45;Ewallet;86,72;4,761904762;4,336;7,9;;105-31-1824;69,52;7;24,332;510,972;486,64;4,761904762;24,332;8,5
41;554-53-8700;C;Naypyitaw;Member;Male;Home and lifestyle;56,11;2;5,611;117,831;02/02/2019;10:11;Cash;112,22;4,761904762;5,611;6,3;;A;69,52;7;24,332;510,972;486,64;4,761904762;24,332;8,5
42;354-25-5821;B;Mandalay;Member;Female;Sports and travel;69,12;6;20,736;435,456;02/08/2019;13:03;Cash;414,72;4,761904762;20,736;5,6;;Yangon;69,52;7;24,332;510,972;486,64;4,761904762;24,332;8,5
43;228-96-1411;C;Naypyitaw;Member;Female;Food and beverages;98,7;8;39,48;829,08;03/04/2019;20:39;Cash;789,6;4,761904762;39,48;7,6;;Male;69,52;7;24,332;510,972;486,64;4,761904762;24,332;8,5
44;617-15-4209;C;Naypyitaw;Member;Male;Health and beauty;15,37;2;1,537;32,277;3/16/2019;19:47;Cash;30,74;4,761904762;1,537;7,2;;Member;69,52;7;24,332;510,972;486,64;4,761904762;24,332;8,5
45;132-32-9879;B;Mandalay;Member;Female;Electronic accessories;93,96;4;18,792;394,632;03/09/2019;18:00;Cash;375,84;4,761904762;18,792;9,5;;Sports and travel;69,52;7;24,332;510,972;486,64;4,761904762;24,332;8,5
46;370-41-7321;B;Mandalay;Member;Male;Health and beauty;56,69;9;25,5105;535,7205;2/27/2019;17:24;Credit card;510,21;4,761904762;25,5105;8,4;;02/01/2019;69,52;7;24,332;510,972;486,64;4,761904762;24,332;8,5
47;727-46-3608;B;Mandalay;Member;Female;Food and beverages;20,01;9;9,0045;189,0945;02/06/2019;15:47;Ewallet;180,09;4,761904762;9,0045;4,1;;15;69,52;7;24,332;510,972;486,64;4,761904762;24,332;8,5
48;669-54-1719;B;Mandalay;Member;Male;Electronic accessories;18,93;6;5,679;119,259;02/10/2019;12:45;Credit card;113,58;4,761904762;5,679;8,1;;106-35-6779;44,34;2;4,434;93,114;88,68;4,761904762;4,434;5,8
49;574-22-5561;C;Naypyitaw;Member;Female;Fashion accessories;82,63;10;41,315;867,615;3/19/2019;17:08;Ewallet;826,3;4,761904762;41,315;7,9;;A;44,34;2;4,434;93,114;88,68;4,761904762;4,434;5,8
50;326-78-5178;C;Naypyitaw;Member;Male;Food and beverages;91,4;7;31,99;671,79;02/03/2019;10:19;Cash;639,8;4,761904762;31,99;9,5;;Yangon;44,34;2;4,434;93,114;88,68;4,761904762;4,434;5,8
51;162-48-8011;A;Yangon;Member;Female;Food and beverages;44,59;5;11,1475;234,0975;02/10/2019;15:10;Cash;222,95;4,761904762;11,1475;8,5;;Male;44,34;2;4,434;93,114;88,68;4,761904762;4,434;5,8
52;616-24-2851;B;Mandalay;Member;Female;Fashion accessories;17,87;4;3,574;75,054;3/22/2019;14:42;Ewallet;71,48;4,761904762;3,574;6,5;;Member;44,34;2;4,434;93,114;88,68;4,761904762;4,434;5,8
53;778-71-5554;C;Naypyitaw;Member;Male;Fashion accessories;15,43;1;0,7715;16,2015;1/25/2019;15:46;Credit card;15,43;4,761904762;0,7715;6,1;;Home and lifestyle;44,34;2;4,434;93,114;88,68;4,761904762;4,434;5,8
54;242-55-6721;B;Mandalay;Normal;Male;Home and lifestyle;16,16;2;1,616;33,936;03/07/2019;11:49;Ewallet;32,32;4,761904762;1,616;6,5;;3/27/2019;44,34;2;4,434;93,114;88,68;4,761904762;4,434;5,8
55;399-46-5918;C;Naypyitaw;Normal;Female;Electronic accessories;85,98;8;34,392;722,232;2/28/2019;19:01;Cash;687,84;4,761904762;34,392;8,2;;11;44,34;2;4,434;93,114;88,68;4,761904762;4,434;5,8
56;106-35-6779;A;Yangon;Member;Male;Home and lifestyle;44,34;2;4,434;93,114;3/27/2019;11:26;Cash;88,68;4,761904762;4,434;5,8;;109-28-2512;97,61;6;29,283;614,943;585,66;4,761904762;29,283;9,9
57;635-40-6220;A;Yangon;Normal;Male;Health and beauty;89,6;8;35,84;752,64;02/07/2019;11:28;Ewallet;716,8;4,761904762;35,84;6,6;;B;97,61;6;29,283;614,943;585,66;4,761904762;29,283;9,9
58;817-48-8732;A;Yangon;Member;Female;Home and lifestyle;72,35;10;36,175;759,675;1/20/2019;15:55;Cash;723,5;4,761904762;36,175;5,4;;Mandalay;97,61;6;29,283;614,943;585,66;4,761904762;29,283;9,9
59;120-06-4233;C;Naypyitaw;Normal;Male;Electronic accessories;30,61;6;9,183;192,843;03/12/2019;20:36;Cash;183,66;4,761904762;9,183;9,3;;Female;97,61;6;29,283;614,943;585,66;4,761904762;29,283;9,9
60;285-68-5083;C;Naypyitaw;Member;Female;Sports and travel;24,74;3;3,711;77,931;2/15/2019;17:47;Credit card;74,22;4,761904762;3,711;10;;Member;97,61;6;29,283;614,943;585,66;4,761904762;29,283;9,9
61;803-83-5989;C;Naypyitaw;Normal;Male;Home and lifestyle;55,73;6;16,719;351,099;2/24/2019;10:55;Ewallet;334,38;4,761904762;16,719;7;;Fashion accessories;97,61;6;29,283;614,943;585,66;4,761904762;29,283;9,9
62;347-34-2234;B;Mandalay;Member;Female;Sports and travel;55,07;9;24,7815;520,4115;02/03/2019;13:40;Ewallet;495,63;4,761904762;24,7815;10;;01/07/2019;97,61;6;29,283;614,943;585,66;4,761904762;29,283;9,9
63;199-75-8169;A;Yangon;Member;Male;Sports and travel;15,81;10;7,905;166,005;03/06/2019;12:27;Credit card;158,1;4,761904762;7,905;8,6;;15;97,61;6;29,283;614,943;585,66;4,761904762;29,283;9,9
64;853-23-2453;B;Mandalay;Member;Male;Health and beauty;75,74;4;15,148;318,108;2/14/2019;14:35;Cash;302,96;4,761904762;15,148;7,6;;109-86-4363;60,08;7;21,028;441,588;420,56;4,761904762;21,028;4,5
65;877-22-3308;A;Yangon;Member;Male;Health and beauty;15,87;10;7,935;166,635;3/13/2019;16:40;Cash;158,7;4,761904762;7,935;5,8;;B;60,08;7;21,028;441,588;420,56;4,761904762;21,028;4,5
66;838-78-4295;C;Naypyitaw;Normal;Female;Health and beauty;33,47;2;3,347;70,287;02/10/2019;15:43;Ewallet;66,94;4,761904762;3,347;6,7;;Mandalay;60,08;7;21,028;441,588;420,56;4,761904762;21,028;4,5
67;109-28-2512;B;Mandalay;Member;Female;Fashion accessories;97,61;6;29,283;614,943;01/07/2019;15:01;Ewallet;585,66;4,761904762;29,283;9,9;;Female;60,08;7;21,028;441,588;420,56;4,761904762;21,028;4,5
68;232-11-3025;A;Yangon;Normal;Male;Sports and travel;78,77;10;39,385;827,085;1/24/2019;10:04;Cash;787,7;4,761904762;39,385;6,4;;Member;60,08;7;21,028;441,588;420,56;4,761904762;21,028;4,5
69;382-03-4532;A;Yangon;Member;Female;Health and beauty;18,33;1;0,9165;19,2465;02/02/2019;18:50;Cash;18,33;4,761904762;0,9165;4,3;;Sports and travel;60,08;7;21,028;441,588;420,56;4,761904762;21,028;4,5
70;393-65-2792;C;Naypyitaw;Normal;Male;Food and beverages;89,48;10;44,74;939,54;01/06/2019;12:46;Credit card;894,8;4,761904762;44,74;9,6;;2/14/2019;60,08;7;21,028;441,588;420,56;4,761904762;21,028;4,5
71;796-12-2025;C;Naypyitaw;Normal;Male;Fashion accessories;62,12;10;31,06;652,26;02/11/2019;16:19;Cash;621,2;4,761904762;31,06;5,9;;11;60,08;7;21,028;441,588;420,56;4,761904762;21,028;4,5
72;510-95-6347;B;Mandalay;Member;Female;Food and beverages;48,52;3;7,278;152,838;03/05/2019;18:17;Ewallet;145,56;4,761904762;7,278;4;;110-05-6330;39,43;6;11,829;248,409;236,58;4,761904762;11,829;9,4
73;841-35-6630;C;Naypyitaw;Normal;Female;Electronic accessories;75,91;6;22,773;478,233;03/09/2019;18:21;Cash;455,46;4,761904762;22,773;8,7;;C;39,43;6;11,829;248,409;236,58;4,761904762;11,829;9,4
74;287-21-9091;A;Yangon;Normal;Male;Home and lifestyle;74,67;9;33,6015;705,6315;1/22/2019;10:55;Ewallet;672,03;4,761904762;33,6015;9,4;;Naypyitaw;39,43;6;11,829;248,409;236,58;4,761904762;11,829;9,4
75;732-94-0499;C;Naypyitaw;Normal;Female;Electronic accessories;41,65;10;20,825;437,325;1/13/2019;17:04;Credit card;416,5;4,761904762;20,825;5,4;;Female;39,43;6;11,829;248,409;236,58;4,761904762;11,829;9,4
76;263-10-3913;C;Naypyitaw;Member;Male;Fashion accessories;49,04;9;22,068;463,428;01/09/2019;14:20;Credit card;441,36;4,761904762;22,068;8,6;;Normal;39,43;6;11,829;248,409;236,58;4,761904762;11,829;9,4
77;381-20-0914;A;Yangon;Member;Female;Fashion accessories;20,01;9;9,0045;189,0945;01/12/2019;15:48;Credit card;180,09;4,761904762;9,0045;5,7;;Food and beverages;39,43;6;11,829;248,409;236,58;4,761904762;11,829;9,4
78;829-49-1914;C;Naypyitaw;Member;Female;Food and beverages;78,31;10;39,155;822,255;03/05/2019;16:24;Ewallet;783,1;4,761904762;39,155;6,6;;3/25/2019;39,43;6;11,829;248,409;236,58;4,761904762;11,829;9,4
79;756-01-7507;C;Naypyitaw;Normal;Female;Health and beauty;20,38;5;5,095;106,995;1/22/2019;18:56;Cash;101,9;4,761904762;5,095;6;;20;39,43;6;11,829;248,409;236,58;4,761904762;11,829;9,4
80;870-72-4431;C;Naypyitaw;Normal;Female;Health and beauty;99,19;6;29,757;624,897;1/21/2019;14:42;Credit card;595,14;4,761904762;29,757;5,5;;110-48-7033;32,62;4;6,524;137,004;130,48;4,761904762;6,524;9
81;847-38-7188;B;Mandalay;Normal;Female;Food and beverages;96,68;3;14,502;304,542;1/26/2019;19:56;Ewallet;290,04;4,761904762;14,502;6,4;;B;32,62;4;6,524;137,004;130,48;4,761904762;6,524;9
82;480-63-2856;C;Naypyitaw;Normal;Male;Food and beverages;19,25;8;7,7;161,7;1/23/2019;18:37;Ewallet;154;4,761904762;7,7;6,6;;Mandalay;32,62;4;6,524;137,004;130,48;4,761904762;6,524;9
83;787-56-0757;C;Naypyitaw;Member;Female;Food and beverages;80,36;4;16,072;337,512;2/23/2019;18:45;Credit card;321,44;4,761904762;16,072;8,3;;Male;32,62;4;6,524;137,004;130,48;4,761904762;6,524;9
84;360-39-5055;C;Naypyitaw;Member;Male;Sports and travel;48,91;5;12,2275;256,7775;03/09/2019;10:17;Cash;244,55;4,761904762;12,2275;6,6;;Member;32,62;4;6,524;137,004;130,48;4,761904762;6,524;9
85;730-50-9884;C;Naypyitaw;Normal;Female;Sports and travel;83,06;7;29,071;610,491;03/05/2019;14:31;Ewallet;581,42;4,761904762;29,071;4;;Fashion accessories;32,62;4;6,524;137,004;130,48;4,761904762;6,524;9
86;362-58-8315;C;Naypyitaw;Normal;Male;Fashion accessories;76,52;5;19,13;401,73;3/25/2019;10:23;Cash;382,6;4,761904762;19,13;9,9;;1/29/2019;32,62;4;6,524;137,004;130,48;4,761904762;6,524;9
87;633-44-8566;A;Yangon;Member;Male;Food and beverages;49,38;7;17,283;362,943;3/27/2019;20:35;Credit card;345,66;4,761904762;17,283;7,3;;14;32,62;4;6,524;137,004;130,48;4,761904762;6,524;9
88;504-35-8843;A;Yangon;Normal;Male;Sports and travel;42,47;1;2,1235;44,5935;01/02/2019;16:57;Cash;42,47;4,761904762;2,1235;5,7;;114-35-5271;57,91;8;23,164;486,444;463,28;4,761904762;23,164;8,1
89;318-68-5053;B;Mandalay;Normal;Female;Health and beauty;76,99;6;23,097;485,037;2/27/2019;17:55;Cash;461,94;4,761904762;23,097;6,1;;B;57,91;8;23,164;486,444;463,28;4,761904762;23,164;8,1
90;565-80-5980;C;Naypyitaw;Member;Female;Home and lifestyle;47,38;4;9,476;198,996;1/23/2019;10:25;Cash;189,52;4,761904762;9,476;7,1;;Mandalay;57,91;8;23,164;486,444;463,28;4,761904762;23,164;8,1
91;225-32-0908;C;Naypyitaw;Normal;Female;Sports and travel;44,86;10;22,43;471,03;1/26/2019;19:54;Ewallet;448,6;4,761904762;22,43;8,2;;Female;57,91;8;23,164;486,444;463,28;4,761904762;23,164;8,1
92;873-51-0671;A;Yangon;Member;Female;Sports and travel;21,98;7;7,693;161,553;01/10/2019;16:42;Ewallet;153,86;4,761904762;7,693;5,1;;Normal;57,91;8;23,164;486,444;463,28;4,761904762;23,164;8,1
93;152-08-9985;B;Mandalay;Member;Male;Health and beauty;64,36;9;28,962;608,202;03/12/2019;12:09;Credit card;579,24;4,761904762;28,962;8,6;;Electronic accessories;57,91;8;23,164;486,444;463,28;4,761904762;23,164;8,1
94;512-91-0811;C;Naypyitaw;Normal;Male;Health and beauty;89,75;1;4,4875;94,2375;02/06/2019;20:05;Credit card;89,75;4,761904762;4,4875;6,6;;02/07/2019;57,91;8;23,164;486,444;463,28;4,761904762;23,164;8,1
95;594-34-4444;A;Yangon;Normal;Male;Electronic accessories;97,16;1;4,858;102,018;03/08/2019;20:38;Ewallet;97,16;4,761904762;4,858;7,2;;15;57,91;8;23,164;486,444;463,28;4,761904762;23,164;8,1
96;766-85-7061;B;Mandalay;Normal;Male;Health and beauty;87,87;10;43,935;922,635;3/29/2019;10:25;Ewallet;878,7;4,761904762;43,935;5,1;;115-38-7388;10,18;8;4,072;85,512;81,44;4,761904762;4,072;9,5
97;871-39-9221;C;Naypyitaw;Normal;Female;Electronic accessories;12,45;6;3,735;78,435;02/09/2019;13:11;Cash;74,7;4,761904762;3,735;4,1;;C;10,18;8;4,072;85,512;81,44;4,761904762;4,072;9,5
98;865-92-6136;A;Yangon;Normal;Male;Food and beverages;52,75;3;7,9125;166,1625;3/23/2019;10:16;Ewallet;158,25;4,761904762;7,9125;9,3;;Naypyitaw;10,18;8;4,072;85,512;81,44;4,761904762;4,072;9,5
99;733-01-9107;B;Mandalay;Normal;Male;Home and lifestyle;82,7;6;24,81;521,01;03/05/2019;18:14;Cash;496,2;4,761904762;24,81;7,4;;Female;10,18;8;4,072;85,512;81,44;4,761904762;4,072;9,5
100;163-56-7055;C;Naypyitaw;Member;Male;Fashion accessories;48,71;1;2,4355;51,1455;3/26/2019;19:20;Cash;48,71;4,761904762;2,4355;4,1;;Member;10,18;8;4,072;85,512;81,44;4,761904762;4,072;9,5
101;189-98-2939;C;Naypyitaw;Normal;Male;Fashion accessories;78,55;9;35,3475;742,2975;03/01/2019;13:22;Cash;706,95;4,761904762;35,3475;7,2;;Fashion accessories;10,18;8;4,072;85,512;81,44;4,761904762;4,072;9,5
102;551-21-3069;C;Naypyitaw;Normal;Female;Electronic accessories;23,07;9;10,3815;218,0115;02/01/2019;11:27;Cash;207,63;4,761904762;10,3815;4,9;;3/30/2019;10,18;8;4,072;85,512;81,44;4,761904762;4,072;9,5
103;212-62-1842;A;Yangon;Normal;Male;Food and beverages;58,26;6;17,478;367,038;3/28/2019;16:44;Cash;349,56;4,761904762;17,478;9,9;;12;10,18;8;4,072;85,512;81,44;4,761904762;4,072;9,5
104;716-39-1409;B;Mandalay;Normal;Male;Health and beauty;30,35;7;10,6225;223,0725;3/19/2019;18:19;Cash;212,45;4,761904762;10,6225;8;;115-99-4379;54,73;7;19,1555;402,2655;383,11;4,761904762;19,1555;8,5
105;704-48-3927;A;Yangon;Member;Male;Electronic accessories;88,67;10;44,335;931,035;01/12/2019;14:50;Ewallet;886,7;4,761904762;44,335;7,3;;B;54,73;7;19,1555;402,2655;383,11;4,761904762;19,1555;8,5
106;628-34-3388;C;Naypyitaw;Normal;Male;Fashion accessories;27,38;6;8,214;172,494;01/05/2019;20:54;Credit card;164,28;4,761904762;8,214;7,9;;Mandalay;54,73;7;19,1555;402,2655;383,11;4,761904762;19,1555;8,5
107;630-74-5166;A;Yangon;Normal;Male;Sports and travel;62,13;6;18,639;391,419;3/22/2019;20:19;Cash;372,78;4,761904762;18,639;7,4;;Female;54,73;7;19,1555;402,2655;383,11;4,761904762;19,1555;8,5
108;588-01-7461;C;Naypyitaw;Normal;Female;Food and beverages;33,98;9;15,291;321,111;3/24/2019;10:43;Cash;305,82;4,761904762;15,291;4,2;;Member;54,73;7;19,1555;402,2655;383,11;4,761904762;19,1555;8,5
109;861-77-0145;C;Naypyitaw;Member;Male;Electronic accessories;81,97;10;40,985;860,685;03/03/2019;14:30;Cash;819,7;4,761904762;40,985;9,2;;Fashion accessories;54,73;7;19,1555;402,2655;383,11;4,761904762;19,1555;8,5
110;479-26-8945;B;Mandalay;Member;Female;Sports and travel;16,49;2;1,649;34,629;02/05/2019;11:32;Ewallet;32,98;4,761904762;1,649;4,6;;3/14/2019;54,73;7;19,1555;402,2655;383,11;4,761904762;19,1555;8,5
111;210-67-5886;C;Naypyitaw;Member;Female;Health and beauty;98,21;3;14,7315;309,3615;02/05/2019;10:41;Credit card;294,63;4,761904762;14,7315;7,8;;19;54,73;7;19,1555;402,2655;383,11;4,761904762;19,1555;8,5
112;227-78-1148;B;Mandalay;Normal;Female;Fashion accessories;72,84;7;25,494;535,374;2/15/2019;12:44;Cash;509,88;4,761904762;25,494;8,4;;118-62-1812;78,38;4;15,676;329,196;313,52;4,761904762;15,676;7,9
113;645-44-1170;A;Yangon;Member;Male;Home and lifestyle;58,07;9;26,1315;548,7615;1/19/2019;20:07;Ewallet;522,63;4,761904762;26,1315;4,3;;C;78,38;4;15,676;329,196;313,52;4,761904762;15,676;7,9
114;237-01-6122;C;Naypyitaw;Member;Female;Home and lifestyle;80,79;9;36,3555;763,4655;02/01/2019;20:31;Credit card;727,11;4,761904762;36,3555;9,5;;Naypyitaw;78,38;4;15,676;329,196;313,52;4,761904762;15,676;7,9
